year,American,Continental,Delta,Northwest,United,US Airways,America West,sub Network,Southwest,jetBlue,AirTran,Alaska,Virgin America,Hawaiian, sub LCC,Allegiant,Spirit,Frontier, sub Other,Total All Sectors,Total Industry,Source:Â  US DOT Form 41 via BTS schedule T2.
1995,102754,35798,85176,62668,111812,38102,13313,449622,23776,,59,8584,,3597,36017,,549,347,896,486535,557234,
1996,104618,37588,93929,68719,116698,39296,15321,476170,27228,,934,9831,,3840,41833,,588,783,1370,519374,598203,
1997,107030,44294,99689,72174,121427,41749,16204,502567,28531,,931,10386,,4161,44010,,819,1028,1847,548424,622234,
1998,108957,51028,103342,66828,124610,41386,16374,512526,30837,,2652,11283,,4218,48990,,1178,1287,2464,563980,635795,
1999,111745,58028,104784,74263,125466,41565,17709,533560,36485,,3588,11786,,4880,56738,,2250,2003,4253,594551,670779,
2000,116595,62357,107852,79252,126934,46925,19113,559029,42230,1003,4155,11987,,5807,65181,45,2814,2596,5456,629666,708762,
2001,106343,58763,97666,73280,116636,46000,19080,517767,44606,3280,4574,12249,,6326,71034,17,3343,2710,6071,594871,725027,
2002,121781,57304,95324,72143,109462,40079,19871,515964,45507,6821,5666,13184,,5214,76392,107,4100,3061,7268,599624,654337,
2003,120335,57586,89430,68764,104394,37785,21285,499580,48043,11520,7165,14572,,5792,87092,447,4582,4566,9595,596267,674137,
2004,130168,63373,98276,73405,115231,40506,23335,544295,53534,15722,8485,16234,,6215,100190,895,4888,6014,11798,656283,752266,
2005,138377,68371,103737,75920,114274,40152,24262,565092,60352,20188,11304,16918,,6772,115534,1284,4517,7285,13086,693712,795096,
2006,139458,76323,98909,72688,117474,37368,23554,565773,67789,23312,13814,17825,,6959,129698,2235,4561,8360,15156,710628,810120,
2007,138455,81432,103450,73022,117403,43567,17689,575019,72416,25723,17252,18455,581,8050,142476,3115,6856,9893,19865,737360,842026,
2008,131761,80499,105699,71643,110064,60568,,560235,73644,26092,18789,18714,3434,7866,148539,3833,6599,9933,20366,729140,823783,
2009,122423,77788,100736,62954,100475,57887,,522263,74576,25962,18512,18365,5512,8142,151068,4738,5940,8562,19240,692570,779997,
2010,125490,79738,168142,,102524,58973,,534867,78138,28293,19564,20353,6236,8670,161254,5432,6627,9215,21274,717395,809068,
2011,126492,82127,168289,,99636,60774,,537318,83912,30710,20050,22590,8024,10144,175430,5602,8007,10332,23941,736689,825916,
2012,126404,,169591,,179398,62430,,537823,85641,33577,17326,24421,9932,12229,183126,6496,9621,10586,26703,747652,832734,
2013,128410,,172925,,178561,66160,,546056,90266,35855,14195,26176,9843,13688,190023,7108,12000,9858,28966,765045,848000,
2014,129340,,181195,,178989,66301,,555825,101275,37838,6868,27782,10092,13877,197732,7857,14159,11154,33170,786728,869677,
2015,167066,,188375,,183625,32395,,571461,117616,41751,,30345,10437,14412,214561,8994,17996,13395,40385,826406,908795,
2016,199013,,191722,,186157,,,576892,124900,45675,,32864,12177,15474,231091,10342,21583,16009,47934,855917,939240,
2017,201353,,196882,,193427,,,591663,129150,47249,,35304,12958,16301,240962,11174,24604,18909,54687,887312,969904,
2018,205454,,205322,,204905,,,615681,133411,50822,,46763,3028,17190,251215,12385,30592,20875,63852,930748,1016999,
2019,212860,,217905,,213231,,,643995,131380,53620,,50416,,17810,253225,13340,35245,24192,72776,969997,1061006,
2020,77067,,66563,,62628,,,206258,54266,18610,,17439,,4571,94886,7754,19316,11435,38504,339648,382098,
